"20,""We bought tickets for both parks, the shuttle brought us from universal Cabana bay hotel.  First trip over we walked to get voodoo donuts. The security guard would not let us in because our daughter had a shirt that had a tiny bad word on it you could hardly read unless you were focused on looking at her breasts. They would not let us turn it inside out, made us walk back to the hotel to change. When we went back into the park, music was playing with cuss words...so much for free speech. Shopped at a few stores, more profanity on shirts....i guess it’s ok to buy the stuff inside the park but don’t wear any into the park...makes total sense.  We arrived early to the park the second day and started riding the rides. Lines were not long and it was easy to get onto rides. The bathrooms were filthy and smelled. Workers were not friendly. Very rude and I never heard anyone say please or thank you. We were told thousands of times to pull our masks over our nose although my mask was stretched out from the rides it would not stay in place. Social distancing was good. Rides were fun. Lots of stuff was closed. Food that was open was gross and way overpriced. Most workers seemed to not speak much English. Not worth $700 for 4 people."""	
"40,""My family of 4 (parents with 15 yo and 9 yo) visited Universal Orlando (Universal Studios?)the week of Dec. 27, 2020. When we heard about the capacity limits, we were a bit concerned as they were NOT taking reservations to ensure entry like the other parks. However, we made a point to get up early each day and we got into the parks each time. Once in, they did a nice job of making people wear masks, giving hand sanitizer before each ride and marking 6 ft increments for standing in lines. Even though there were capacity limits (exactly what, they won't say) we thought the park seemed very busy and lines were long. We waited an average of 50 minutes for most rides, but posted times were usually twice what we actually waited. We did not pay for express lines but could see where it would be a smart purchase.... Food lines were also very long around lunch time so we ended up eating in City Walk. My family enjoyed all the rides like the Hulk, Spiderman, The Mummy, Rip Ride Rocket, Escape from Gringotts and more. The whole Harry Potter area was very busy, but that's what's popular! One thing I wish I had known: absolutely NO items can be in your pockets for the Rip Ride Rocket. This whole ride cue was crazy each of the 3 times we rode. The line was confusing, people shouting about lockers, some warning people about the No items in your pockets, people turning back.... I was really ticked off until we figured it out. Anyway, considered yourself warned!! Otherwise, fun day!"""	
"50,""Our experience was amazing through and through. We stayed at Royal Pacific Resort and either took the walking trail or water taxi to get in/out of the park. They did a great job at making sure masks were on and handing out sanitizer before every ride. I specifically want to give a shout-out to Brenda who was working at the Pteradon Flyers ride. She went above and beyond to make sure both me and my husband got to switch and ride with our daughter while making sure we didn’t wait too long. Also, Pat in Harry Potter world (Diagon Alley) was fun! She did a special little ceremony with an invisible trophy after challenging me to name all the gargoyles on a certain triangular shaped building. Thanks for an amazing time!"""	
"20,""For anyone thinking that the park is going to be less crowded or you will be able to go on more rides, this is not the case. The park is extremely crowded in certain areas and almost all wait times were over an hour and some close to 2 hours. We have been here before and we actually were even close to being able to ride on as many rides as we did last time we were there. We have a child with a disability and the disability pass did not help at all."""	
"30,""For a family of 4 at over $550 admission, you can find many others activities to do that you’ll enjoy more. We got there early at 8am and parked in premium (which is worth the $5 extra). All of the checkin part was easy. They take your temperature and have social distancing signs everywhere (although most people don’t pay attention.) The girls really enjoyed the Harry Potter area and we spent more money in there for lunch and accessories. The Mummy and roller coaster were closed. The fast and furious was a 2 hour wait. Some other attractions were shorter waits, but going on 4 or 5 attractions all before noon left nothing left to do the rest of the day with so many events closed. I would recommend a lower admission ticket price during this time since so many things closed ."""	
"30,""I had a lot of fun I liked how they were taking precautions it’s masks the whole time and from what I could see the lines were very long but me and my family had fast passes the only thing I didn’t enjoy was the shortened hours"""	
"20,""Returned to Orlando Christmas time. Tried to do theme parks, hoping to do more than two attractions in five days of line waiting and breakdowns this time (my experience last year). Sad, but thought may have a chance do due to restrictions.  Parks were more enjoyable this time, but the city vibe... still desperate. Tired of the prejudice. Used to be if not Latino, really felt it. Now, if not black really feel the rude avoidance (and the Latino/Cubano that are trying to side as """"black"""" more now because is superior group for better drama affect, but then just have more egocentric rude people wanting you out of the way).  Got tired of the """"congenial, together, progressive acting"""" black family, that won't even let you pass by them, or acknowledge your Christmas spirit there waiting too. Is all about them (but enjoying the charity of Christmas time!) and comes off contradictory and morally progressive acting, which is egocentric and discrimination is still, ah... discrimination. Hypocritical). Got tired of that treatment in """"the happiest place on earth"""". And we're in a pandemic, but do keep disregarding others.  I did ok asking for directions and locals would say """"No English..."""" so I asked in Spanish. Seemed got a bit better acknowledgement of being a human being there then. Or got them embarrassed.  (Confirms the current and to continue """"moral progressive discrimination"""" which is going on. Merry Christmas). And listen to the African Uber drivers criticize the blacks here! Why is that?  Or, standing outside the airport leaving that flat hot egocentric place of hypocrisy, and a gentleman standing next to me kept muttering something over and over. Then staring at me made out the continual """"when ya gonna pay me back!"""" What? Oh, I guess when you stop benefiting from medicine, advances in medical care, eyeglasses, and when you stop using and give back your iPhone and laptops. or money benefits I'm paying for in taxes (on what job I can get because not female or of color so my degrees hard worked for don't matter). So... when can I expect to see those turned in? Because to not would be counter to what you are grieving about (people that invented those didn't have as much Melanin content in their skin, so I guess must be canceled out).  And where's the petition to close down the """"White"""" Disney parks? Ok, no problem. When then? Because otherwise that would be hypocrisy in that cause"	
"50,""We visited the theme park on a Friday, and really enjoyed it. The wait times were minimal. We did arrive to the park before 9, but the gates opened at 9. We rode most of the rides before lunch. We also enjoyed the new crape place as well as butter bear. We ate lunch at Mels Dinner and the price was good for all the food we got. You did have to use hand sanitizer before every ride, but I completely understand that they are taking precautions to help keep the park open and safe. Definetly reccommend going in January."""	" don't want that. Just trying to help. And, no worry. I won't be back. I'll save my money to move somewhere I'm welcome. Sure not this country. Got what you wanted! Enjoy!"""
"40,""My first time here but we were not visiting the parks - we had reservations at the toothsome chocolate restaurant. I didn’t know city walk had the same entrance and parking as the parks. Parking was $26. The Parks were full but there were a lot of folks around the city walk shops and restaurants."""	
"30,""This universal park is in need of some updating and some more attractions. Most of the rides on this side are virtual reality. Jimmy Fallon ride is fun and MIB is cute. The Wizarding World area and the Hogwarts express are the best parts of this park for sure."""	
